tax_id,GeneID,Ensembl_gene_identifier,RNA_nucleotide_accession.version,Ensembl_rna_identifier,protein_accession.version,Ensembl_protein_identifier
105023,64988122,ENSNFUG00015000009,-,-,-,-
105023,64988123,ENSNFUG00015000010,-,-,-,-
105023,64988124,ENSNFUG00015000013,-,-,-,-
105023,64988125,ENSNFUG00015000014,-,-,-,-
105023,64988126,ENSNFUG00015000015,-,-,-,-
105023,64988127,ENSNFUG00015000016,-,-,-,-
105023,64988128,ENSNFUG00015000019,-,-,-,-
105023,64988129,ENSNFUG00015000031,-,-,-,-
105023,64988130,ENSNFUG00015000032,-,-,-,-
105023,64988131,ENSNFUG00015000038,-,-,-,-
105023,64988132,ENSNFUG00015000039,-,-,-,-
105023,64988133,ENSNFUG00015000002,-,-,-,-
105023,107372319,ENSNFUG00015011642,-,-,-,-
105023,107372320,ENSNFUG00015011724,-,-,XP_015796012.1,ENSNFUP00015024246.1
105023,107372323,ENSNFUG00015011767,-,-,XP_015796015.1,ENSNFUP00015024401.1
105023,107372325,ENSNFUG00015011915,-,-,XP_015796020.1,ENSNFUP00015024606.1
105023,107372326,ENSNFUG00015011954,-,-,XP_015796022.1,ENSNFUP00015024688.1
105023,107372328,ENSNFUG00015011922,-,-,XP_015796024.1,ENSNFUP00015024614.1
105023,107372346,ENSNFUG00015024014,-,-,-,-
105023,107372353,ENSNFUG00015016450,-,-,-,-
105023,107372354,ENSNFUG00015016429,-,-,XP_015796044.1,ENSNFUP00015033571.1
105023,107372355,ENSNFUG00015016453,-,-,XP_015796045.1,ENSNFUP00015033632.1
105023,107372360,ENSNFUG00015016457,-,-,-,-
105023,107372364,ENSNFUG00015016509,-,-,XP_015796057.1,ENSNFUP00015033783.1
105023,107372366,ENSNFUG00015016537,-,-,-,-
105023,107372367,ENSNFUG00015016546,-,-,-,-
105023,107372371,ENSNFUG00015024045,-,-,XP_015796072.1,ENSNFUP00015052223.1
105023,107372377,ENSNFUG00015016716,-,-,-,-
105023,107372380,ENSNFUG00015017331,-,-,XP_015796082.1,ENSNFUP00015036446.1
105023,107372381,ENSNFUG00015017004,-,-,-,-
105023,107372385,ENSNFUG00015017794,-,-,-,-
105023,107372386,ENSNFUG00015017785,-,-,-,-
105023,107372389,ENSNFUG00015024425,-,-,XP_015796104.1,ENSNFUP00015052336.1
105023,107372399,ENSNFUG00015009043,-,-,-,-
105023,107372400,ENSNFUG00015024435,-,-,XP_015796124.1,ENSNFUP00015052356.1
105023,107372401,ENSNFUG00015008968,-,-,-,-
105023,107372404,ENSNFUG00015009187,-,-,-,-
105023,107372405,ENSNFUG00015009313,-,-,-,-
105023,107372407,ENSNFUG00015009275,-,-,XP_015796123.1,ENSNFUP00015019197.1
105023,107372409,ENSNFUG00015009300,-,-,-,-
105023,107372411,ENSNFUG00015009404,-,-,XP_015796128.1,ENSNFUP00015019440.1
105023,107372412,ENSNFUG00015009404,-,-,XP_015796129.1,ENSNFUP00015019657.1
105023,107372412,ENSNFUG00015009404,-,-,XP_015796131.1,ENSNFUP00015019704.1
105023,107372413,ENSNFUG00015024484,-,-,-,-
105023,107372414,ENSNFUG00015009362,-,-,XP_015796133.1,ENSNFUP00015019338.1
105023,107372416,ENSNFUG00015009544,-,-,-,-
105023,107372418,ENSNFUG00015009608,-,-,-,-
105023,107372419,ENSNFUG00015009991,-,-,XP_015796139.1,ENSNFUP00015020846.1
105023,107372419,ENSNFUG00015009991,-,-,XP_015796140.1,ENSNFUP00015020894.1
105023,107372420,ENSNFUG00015009936,-,-,-,-
105023,107372422,ENSNFUG00015024667,-,-,-,-
105023,107372423,ENSNFUG00015010409,-,-,-,-
105023,107372425,ENSNFUG00015010195,-,-,-,-
105023,107372430,ENSNFUG00015011984,-,-,XP_015796159.1,ENSNFUP00015024870.1
105023,107372431,ENSNFUG00015011944,-,-,XP_015796161.1,ENSNFUP00015024674.1
105023,107372440,ENSNFUG00015013632,-,-,XP_015796173.1,ENSNFUP00015028186.1
105023,107372441,ENSNFUG00015013637,-,-,XP_015796174.1,ENSNFUP00015028197.1
105023,107372446,ENSNFUG00015013710,-,-,-,-
105023,107372447,ENSNFUG00015013726,-,-,-,-
105023,107372448,ENSNFUG00015013715,-,-,XP_015796179.1,ENSNFUP00015028353.1
105023,107372451,ENSNFUG00015013743,-,-,XP_015796181.1,ENSNFUP00015028407.1
105023,107372452,ENSNFUG00015013768,-,-,-,-
105023,107372459,ENSNFUG00015013544,-,-,-,-
105023,107372515,ENSNFUG00015024934,-,-,-,-
105023,107372542,ENSNFUG00015013524,-,-,XP_015796249.1,ENSNFUP00015027996.1
105023,107372550,ENSNFUG00015013556,-,-,-,-
105023,107372554,ENSNFUG00015013630,-,-,-,-
105023,107372559,ENSNFUG00015014207,-,-,XP_015796268.1,ENSNFUP00015029272.1
105023,107372564,ENSNFUG00015014298,-,-,-,-
105023,107372568,ENSNFUG00015014342,-,-,XP_015796277.1,ENSNFUP00015029476.1
105023,107372602,ENSNFUG00015016201,-,-,-,-
105023,107372612,ENSNFUG00015016557,-,-,XP_015796318.1,ENSNFUP00015034661.1
105023,107372622,ENSNFUG00015017052,-,-,XP_015796323.1,ENSNFUP00015035048.1
105023,107372638,ENSNFUG00015017902,-,-,-,-
105023,107372647,ENSNFUG00015025196,-,-,XP_015796343.1,ENSNFUP00015054275.1
105023,107372661,ENSNFUG00015017951,-,-,-,-
105023,107372670,ENSNFUG00015018213,-,-,-,-
105023,107372676,ENSNFUG00015010207,-,-,-,-
105023,107372681,ENSNFUG00015018353,-,-,-,-
105023,107372686,ENSNFUG00015010350,-,-,-,-
105023,107372696,ENSNFUG00015011985,-,-,XP_015796385.1,ENSNFUP00015024752.1
105023,107372704,ENSNFUG00015011997,-,-,-,-
105023,107372710,ENSNFUG00015018421,-,-,-,-
105023,107372713,ENSNFUG00015012026,-,-,XP_015796404.1,ENSNFUP00015024896.1
105023,107372719,ENSNFUG00015012045,-,-,XP_015796410.1,ENSNFUP00015024931.1
105023,107372722,ENSNFUG00015018464,-,-,XP_015796408.1,ENSNFUP00015038229.1
105023,107372722,ENSNFUG00015018464,-,-,XP_015796409.1,ENSNFUP00015038233.1
105023,107372728,ENSNFUG00015008940,-,-,-,-
105023,107372730,ENSNFUG00015008911,-,-,XP_015796415.1,ENSNFUP00015018717.1
105023,107372736,ENSNFUG00015008992,-,-,XP_015796421.1,ENSNFUP00015018810.1
105023,107372740,ENSNFUG00015009036,-,-,-,-
105023,107372744,ENSNFUG00015009135,-,-,-,-
105023,107372745,ENSNFUG00015009115,-,-,XP_015796434.1,ENSNFUP00015018965.1
105023,107372746,ENSNFUG00015012062,-,-,XP_015796437.1,ENSNFUP00015024952.1
105023,107372756,ENSNFUG00015012193,-,-,XP_015796446.1,ENSNFUP00015028603.1
105023,107372762,ENSNFUG00015009356,-,-,XP_015796449.1,ENSNFUP00015019312.1
105023,107372764,ENSNFUG00015013966,-,-,XP_015796456.1,ENSNFUP00015028856.1
105023,107372773,ENSNFUG00015013975,-,-,XP_015796465.1,ENSNFUP00015028894.1
105023,107372778,ENSNFUG00015009519,-,-,-,-
105023,107372779,ENSNFUG00015009570,-,-,-,-
105023,107372780,ENSNFUG00015013998,-,-,-,-
105023,107372806,ENSNFUG00015014427,-,-,XP_015796497.1,ENSNFUP00015030373.1
105023,107372810,ENSNFUG00015009667,-,-,XP_015796496.1,ENSNFUP00015019958.1
105023,107372811,ENSNFUG00015009683,-,-,-,-
105023,107372814,ENSNFUG00015014877,-,-,XP_015796506.1,ENSNFUP00015030637.1
105023,107372816,ENSNFUG00015009717,-,-,XP_015796505.1,ENSNFUP00015020052.1
105023,107372822,ENSNFUG00015009742,-,-,-,-
105023,107372822,ENSNFUG00015009742,-,-,XP_015796511.1,ENSNFUP00015020096.1
105023,107372824,ENSNFUG00015015000,-,-,-,-
105023,107372831,ENSNFUG00015009809,-,-,-,-
105023,107372836,ENSNFUG00015009842,-,-,-,-
105023,107372848,ENSNFUG00015015268,-,-,-,-
105023,107372858,ENSNFUG00015015360,-,-,XP_015796550.1,ENSNFUP00015033545.1
105023,107372866,ENSNFUG00015014350,-,-,-,-
105023,107372869,ENSNFUG00015015281,-,-,XP_015796558.1,ENSNFUP00015031290.1
105023,107372874,ENSNFUG00015014548,-,-,XP_015796560.1,ENSNFUP00015029861.1
105023,107372877,ENSNFUG00015014551,-,-,-,-
105023,107372879,ENSNFUG00015016432,-,-,-,-
105023,107372881,ENSNFUG00015014677,-,-,XP_015796566.1,ENSNFUP00015030114.1
105023,107372888,ENSNFUG00015016555,-,-,XP_015796575.1,ENSNFUP00015033860.1
105023,107372901,ENSNFUG00015014875,-,-,XP_015796581.1,ENSNFUP00015030506.1
105023,107372902,ENSNFUG00015014865,-,-,XP_015796582.1,ENSNFUP00015030451.1
105023,107372911,ENSNFUG00015016623,-,-,-,-
105023,107372917,ENSNFUG00015015327,-,-,XP_015796598.1,ENSNFUP00015031372.1
105023,107372920,ENSNFUG00015018305,-,-,XP_015796605.1,ENSNFUP00015037950.1
105023,107372925,ENSNFUG00015015612,-,-,XP_015796607.1,ENSNFUP00015031884.1
105023,107372926,ENSNFUG00015015575,-,-,XP_015796608.1,ENSNFUP00015031851.1
105023,107372942,ENSNFUG00015015923,-,-,-,-
105023,107372943,ENSNFUG00015015870,-,-,-,-
105023,107372954,ENSNFUG00015016160,-,-,-,-
105023,107372960,ENSNFUG00015016183,-,-,XP_015796636.1,ENSNFUP00015033050.1
105023,107372965,ENSNFUG00015016216,-,-,XP_015796641.1,ENSNFUP00015033161.1
105023,107372966,ENSNFUG00015016216,-,-,XP_015796643.1,ENSNFUP00015033170.1
105023,107372971,ENSNFUG00015016257,-,-,-,-
105023,107372999,ENSNFUG00015015966,-,-,-,-
105023,107373005,ENSNFUG00015018386,-,-,-,-
105023,107373006,ENSNFUG00015009016,-,-,XP_015796685.1,ENSNFUP00015018871.1
105023,107373013,ENSNFUG00015009133,-,-,XP_015796692.1,ENSNFUP00015018989.1
105023,107373022,ENSNFUG00015018458,-,-,-,-
105023,107373024,ENSNFUG00015009294,-,-,XP_015796700.1,ENSNFUP00015020719.1
105023,107373025,ENSNFUG00015010058,-,-,-,-
105023,107373040,ENSNFUG00015018469,-,-,-,-
105023,107373042,ENSNFUG00015014499,-,-,-,-
105023,107373048,ENSNFUG00015014591,-,-,XP_015796717.1,ENSNFUP00015029979.1
105023,107373051,ENSNFUG00015018476,-,-,-,-
105023,107373062,ENSNFUG00015018489,-,-,XP_015796729.1,ENSNFUP00015038277.1
105023,107373090,ENSNFUG00015018494,-,-,-,-
105023,107373108,ENSNFUG00015018500,-,-,-,-
105023,107373116,ENSNFUG00015018521,-,-,-,-
105023,107373131,ENSNFUG00015010074,-,-,XP_015796792.1,ENSNFUP00015020815.1
105023,107373131,ENSNFUG00015010074,-,-,XP_015796797.1,ENSNFUP00015020799.1
105023,107373147,ENSNFUG00015010287,-,-,XP_015796806.1,ENSNFUP00015021196.1
105023,107373161,ENSNFUG00015010430,-,-,XP_015796816.1,ENSNFUP00015021553.1
105023,107373172,ENSNFUG00015010837,-,-,-,-
105023,107373176,ENSNFUG00015010873,-,-,-,-
105023,107373180,ENSNFUG00015019467,-,-,-,-
105023,107373188,ENSNFUG00015010930,-,-,-,-
105023,107373190,ENSNFUG00015019564,-,-,-,-
105023,107373197,ENSNFUG00015011099,-,-,-,-
105023,107373199,ENSNFUG00015019569,-,-,-,-
105023,107373223,ENSNFUG00015019619,-,-,-,-
105023,107373232,ENSNFUG00015020379,-,-,XP_015796885.1,ENSNFUP00015042558.1
105023,107373232,ENSNFUG00015020379,-,-,XP_015796890.1,ENSNFUP00015042571.1
105023,107373232,ENSNFUG00015020379,-,-,XP_015796905.1,ENSNFUP00015042577.1
105023,107373258,ENSNFUG00015020427,-,-,XP_015796918.1,ENSNFUP00015042725.1
105023,107373272,ENSNFUG00015014737,-,-,-,-
105023,107373299,ENSNFUG00015020488,-,-,-,-
105023,107373304,ENSNFUG00015015153,-,-,XP_015796948.1,ENSNFUP00015031091.1
105023,107373313,ENSNFUG00015020562,-,-,XP_015796959.1,ENSNFUP00015042956.1
105023,107373315,ENSNFUG00015015233,-,-,-,-
105023,107373338,ENSNFUG00015015591,-,-,-,-
105023,107373347,ENSNFUG00015015709,-,-,-,-
105023,107373355,ENSNFUG00015020595,-,-,-,-
105023,107373367,ENSNFUG00015020775,-,-,XP_015797001.1,ENSNFUP00015043473.1
105023,107373379,ENSNFUG00015020565,-,-,XP_015797012.1,ENSNFUP00015042960.1
105023,107373389,ENSNFUG00015020787,-,-,-,-
105023,107373395,ENSNFUG00015020791,-,-,XP_015797025.1,ENSNFUP00015043537.1
105023,107373395,ENSNFUG00015020791,-,-,XP_015797029.1,ENSNFUP00015043539.1
105023,107373408,ENSNFUG00015015580,-,-,XP_015797033.1,ENSNFUP00015032562.1
105023,107373409,ENSNFUG00015015974,-,-,-,-
105023,107373410,ENSNFUG00015020804,-,-,XP_015797038.1,ENSNFUP00015043545.1
105023,107373416,ENSNFUG00015016070,-,-,XP_015797041.1,ENSNFUP00015032888.1
105023,107373421,ENSNFUG00015016133,-,-,-,-
105023,107373430,ENSNFUG00015020811,-,-,XP_015797055.1,ENSNFUP00015043572.1
105023,107373446,ENSNFUG00015016299,-,-,-,-
105023,107373451,ENSNFUG00015020818,-,-,-,-
105023,107373476,ENSNFUG00015016345,-,-,XP_015797091.1,ENSNFUP00015033378.1
105023,107373488,ENSNFUG00015020835,-,-,-,-
105023,107373532,ENSNFUG00015020905,-,-,XP_015797141.1,ENSNFUP00015044211.1
105023,107373538,ENSNFUG00015019937,-,-,-,-
105023,107373543,ENSNFUG00015021088,-,-,-,-
105023,107373550,ENSNFUG00015020055,-,-,XP_015797156.1,ENSNFUP00015041805.1
105023,107373551,ENSNFUG00015019979,-,-,XP_015797157.1,ENSNFUP00015041783.1
105023,107373552,ENSNFUG00015020057,-,-,XP_015797158.1,ENSNFUP00015041810.1
105023,107373553,ENSNFUG00015020061,-,-,XP_015797160.1,ENSNFUP00015041815.1
105023,107373557,ENSNFUG00015020130,-,-,XP_015797165.1,ENSNFUP00015042100.1
105023,107373558,ENSNFUG00015020204,-,-,-,-
105023,107373559,ENSNFUG00015021272,-,-,-,-
105023,107373565,ENSNFUG00015020498,-,-,XP_015797177.1,ENSNFUP00015043215.1
105023,107373566,ENSNFUG00015021279,-,-,XP_015797182.1,ENSNFUP00015044719.1
105023,107373571,ENSNFUG00015020688,-,-,-,-
105023,107373573,ENSNFUG00015020690,-,-,XP_015797186.1,ENSNFUP00015043241.1
105023,107373574,ENSNFUG00015020698,-,-,XP_015797187.1,ENSNFUP00015043264.1
105023,107373577,ENSNFUG00015021278,-,-,-,-
105023,107373584,ENSNFUG00015020740,-,-,XP_015797199.1,ENSNFUP00015043464.1
105023,107373588,ENSNFUG00015020740,-,-,XP_015797201.1,ENSNFUP00015043434.1
105023,107373590,ENSNFUG00015020840,-,-,-,-
105023,107373591,ENSNFUG00015020843,-,-,XP_015797206.1,ENSNFUP00015043649.1
105023,107373598,ENSNFUG00015021284,-,-,XP_015797216.1,ENSNFUP00015044732.1
105023,107373603,ENSNFUG00015011299,-,-,XP_015797218.1,ENSNFUP00015023351.1
105023,107373605,ENSNFUG00015011670,-,-,-,-
105023,107373607,ENSNFUG00015008931,-,-,XP_015797227.1,ENSNFUP00015018731.1
105023,107373608,ENSNFUG00015011712,-,-,-,-
105023,107373609,ENSNFUG00015011726,-,-,-,-
105023,107373613,ENSNFUG00015011758,-,-,-,-
105023,107373616,ENSNFUG00015011818,-,-,XP_015797239.1,ENSNFUP00015024446.1
105023,107373638,ENSNFUG00015013033,-,-,XP_015797256.1,ENSNFUP00015026995.1
105023,107373639,ENSNFUG00015008950,-,-,XP_015797260.1,ENSNFUP00015018756.1
105023,107373640,ENSNFUG00015013105,-,-,XP_015797257.1,ENSNFUP00015027392.1
105023,107373643,ENSNFUG00015013300,-,-,-,-
105023,107373646,ENSNFUG00015013374,-,-,XP_015797266.1,ENSNFUP00015027939.1
105023,107373647,ENSNFUG00015013334,-,-,-,-
105023,107373648,ENSNFUG00015008972,-,-,XP_015797271.1,ENSNFUP00015018780.1
105023,107373658,ENSNFUG00015009075,-,-,-,-
105023,107373662,ENSNFUG00015013783,-,-,-,-
105023,107373664,ENSNFUG00015013827,-,-,XP_015797283.1,ENSNFUP00015028573.1
105023,107373665,ENSNFUG00015014308,-,-,-,-
105023,107373667,ENSNFUG00015009592,-,-,XP_015797289.1,ENSNFUP00015019828.1
105023,107373669,ENSNFUG00015014308,-,-,XP_015797287.1,ENSNFUP00015034167.1
105023,107373673,ENSNFUG00015019306,-,-,-,-
105023,107373674,ENSNFUG00015016948,-,-,-,-
105023,107373675,ENSNFUG00015016709,-,-,-,-
105023,107373679,ENSNFUG00015019841,-,-,XP_015797305.1,ENSNFUP00015041324.1
105023,107373680,ENSNFUG00015019330,-,-,XP_015797306.1,ENSNFUP00015040177.1
105023,107373681,ENSNFUG00015019330,-,-,XP_015797307.1,ENSNFUP00015041315.1
105023,107373685,ENSNFUG00015009644,-,-,-,-
105023,107373693,ENSNFUG00015019850,-,-,-,-
105023,107373695,ENSNFUG00015009948,-,-,-,-
105023,107373696,ENSNFUG00015019869,-,-,XP_015797324.1,ENSNFUP00015041411.1
105023,107373696,ENSNFUG00015019869,-,-,XP_015797325.1,ENSNFUP00015041402.1
105023,107373699,ENSNFUG00015020770,-,-,XP_015797331.1,ENSNFUP00015043895.1
105023,107373699,ENSNFUG00015020770,-,-,XP_015797333.1,ENSNFUP00015043908.1
105023,107373701,ENSNFUG00015020938,-,-,XP_015797335.1,ENSNFUP00015043934.1
105023,107373706,ENSNFUG00015020944,-,-,-,-
105023,107373707,ENSNFUG00015008890,-,-,XP_015797338.1,ENSNFUP00015018691.1
105023,107373712,ENSNFUG00015008978,-,-,XP_015797346.1,ENSNFUP00015018782.1
105023,107373712,ENSNFUG00015008993,-,-,-,-
105023,107373713,ENSNFUG00015009072,-,-,-,-
105023,107373714,ENSNFUG00015009189,-,-,-,-
105023,107373715,ENSNFUG00015009038,-,-,-,-
105023,107373717,ENSNFUG00015009318,-,-,-,-
105023,107373718,ENSNFUG00015010193,-,-,XP_015797360.1,ENSNFUP00015020989.1
105023,107373720,ENSNFUG00015009364,-,-,XP_015797359.1,ENSNFUP00015019540.1
105023,107373723,ENSNFUG00015009605,-,-,XP_015797361.1,ENSNFUP00015019962.1
105023,107373726,ENSNFUG00015010202,-,-,-,-
105023,107373732,ENSNFUG00015012250,-,-,XP_015797374.1,ENSNFUP00015025341.1
105023,107373738,ENSNFUG00015012277,-,-,-,-
105023,107373739,ENSNFUG00015012266,-,-,XP_015797381.1,ENSNFUP00015025388.1
105023,107373741,ENSNFUG00015012288,-,-,-,-
105023,107373742,ENSNFUG00015010214,-,-,-,-
105023,107373748,ENSNFUG00015012385,-,-,-,-
105023,107373749,ENSNFUG00015012395,-,-,-,-
105023,107373750,ENSNFUG00015012403,-,-,XP_015797392.1,ENSNFUP00015025634.1
105023,107373751,ENSNFUG00015012416,-,-,-,-
105023,107373752,ENSNFUG00015012423,-,-,-,-
105023,107373754,ENSNFUG00015012426,-,-,-,-
105023,107373760,ENSNFUG00015012461,-,-,XP_015797399.1,ENSNFUP00015025739.1
105023,107373761,ENSNFUG00015012463,-,-,-,-
105023,107373762,ENSNFUG00015012464,-,-,-,-
105023,107373767,ENSNFUG00015010259,-,-,-,-
105023,107373787,ENSNFUG00015012555,-,-,-,-
105023,107373803,ENSNFUG00015010709,-,-,XP_015797438.1,ENSNFUP00015030876.1
105023,107373803,ENSNFUG00015010709,-,-,XP_015797443.1,ENSNFUP00015030121.1
105023,107373807,ENSNFUG00015014379,-,-,XP_015797440.1,ENSNFUP00015029573.1
105023,107373809,ENSNFUG00015014347,-,-,XP_015797442.1,ENSNFUP00015029531.1
105023,107373814,ENSNFUG00015014416,-,-,XP_015797444.1,ENSNFUP00015029723.1
105023,107373824,ENSNFUG00015014623,-,-,-,-
105023,107373825,ENSNFUG00015014712,-,-,-,-
105023,107373835,ENSNFUG00015014881,-,-,-,-
105023,107373836,ENSNFUG00015014896,-,-,-,-
105023,107373838,ENSNFUG00015014912,-,-,XP_015797466.1,ENSNFUP00015030606.1
105023,107373841,ENSNFUG00015015006,-,-,-,-
105023,107373850,ENSNFUG00015016072,-,-,XP_015797477.1,ENSNFUP00015032793.1
105023,107373864,ENSNFUG00015016737,-,-,-,-
105023,107373865,ENSNFUG00015015183,-,-,XP_015797498.1,ENSNFUP00015031796.1
105023,107373866,ENSNFUG00015016759,-,-,-,-
105023,107373867,ENSNFUG00015016768,-,-,XP_015797491.1,ENSNFUP00015034431.1
105023,107373881,ENSNFUG00015015646,-,-,-,-
105023,107373885,ENSNFUG00015016975,-,-,-,-
105023,107373886,ENSNFUG00015017050,-,-,XP_015797513.1,ENSNFUP00015035076.1
105023,107373888,ENSNFUG00015017073,-,-,XP_015797517.1,ENSNFUP00015035113.1
105023,107373891,ENSNFUG00015015586,-,-,XP_015797522.1,ENSNFUP00015031932.1
105023,107373894,ENSNFUG00015017092,-,-,XP_015797520.1,ENSNFUP00015035162.1
105023,107373895,ENSNFUG00015017117,-,-,-,-
105023,107373897,ENSNFUG00015017110,-,-,-,-
105023,107373901,ENSNFUG00015017579,-,-,XP_015797527.1,ENSNFUP00015036374.1
105023,107373901,ENSNFUG00015017579,-,-,XP_015797531.1,ENSNFUP00015036291.1
105023,107373912,ENSNFUG00015009088,-,-,XP_015797547.1,ENSNFUP00015018951.1
105023,107373913,ENSNFUG00015009123,-,-,-,-
105023,107373962,ENSNFUG00015015999,-,-,-,-
105023,107373976,ENSNFUG00015009140,-,-,-,-
105023,107373989,ENSNFUG00015009578,-,-,-,-
105023,107373990,ENSNFUG00015009656,-,-,XP_015797620.1,ENSNFUP00015020034.1
105023,107374000,ENSNFUG00015009966,-,-,XP_015797632.1,ENSNFUP00015021079.1
105023,107374002,ENSNFUG00015010271,-,-,XP_015797634.1,ENSNFUP00015021141.1
105023,107374004,ENSNFUG00015010253,-,-,XP_015797636.1,ENSNFUP00015021121.1
105023,107374004,ENSNFUG00015010253,-,-,XP_015797637.1,ENSNFUP00015021102.1
105023,107374010,ENSNFUG00015010322,-,-,-,-
105023,107374015,ENSNFUG00015010398,-,-,XP_015797646.1,ENSNFUP00015021397.1
105023,107374016,ENSNFUG00015010386,-,-,-,-
105023,107374017,ENSNFUG00015010411,-,-,XP_015797648.1,ENSNFUP00015021427.1
105023,107374022,ENSNFUG00015016249,-,-,XP_015797652.1,ENSNFUP00015038424.1
105023,107374035,ENSNFUG00015010589,-,-,-,-
105023,107374038,ENSNFUG00015011521,-,-,XP_015797664.1,ENSNFUP00015023820.1
105023,107374040,ENSNFUG00015011577,-,-,XP_015797666.1,ENSNFUP00015024174.1
105023,107374041,ENSNFUG00015018927,-,-,XP_015797670.1,ENSNFUP00015039289.1
105023,107374043,ENSNFUG00015011713,-,-,-,-
105023,107374044,ENSNFUG00015011704,-,-,-,-
105023,107374047,ENSNFUG00015011762,-,-,XP_015797673.1,ENSNFUP00015024330.1
105023,107374049,ENSNFUG00015018957,-,-,-,-
105023,107374050,ENSNFUG00015011749,-,-,XP_015797676.1,ENSNFUP00015024305.1
105023,107374058,ENSNFUG00015011788,-,-,-,-
105023,107374059,ENSNFUG00015011797,-,-,XP_015797686.1,ENSNFUP00015024392.1
105023,107374060,ENSNFUG00015011843,-,-,-,-
105023,107374061,ENSNFUG00015011811,-,-,XP_015797688.1,ENSNFUP00015024440.1
105023,107374064,ENSNFUG00015019045,-,-,-,-
105023,107374065,ENSNFUG00015011897,-,-,-,-
105023,107374066,ENSNFUG00015011881,-,-,-,-
105023,107374068,ENSNFUG00015012166,-,-,-,-
105023,107374072,ENSNFUG00015012291,-,-,XP_015797712.1,ENSNFUP00015025421.1
105023,107374078,ENSNFUG00015019038,-,-,XP_015797723.1,ENSNFUP00015039528.1
105023,107374081,ENSNFUG00015014656,-,-,XP_015797722.1,ENSNFUP00015031243.1
105023,107374085,ENSNFUG00015012595,-,-,-,-
105023,107374090,ENSNFUG00015019053,-,-,XP_015797731.1,ENSNFUP00015039565.1
105023,107374101,ENSNFUG00015012716,-,-,-,-
105023,107374109,ENSNFUG00015019083,-,-,-,-
105023,107374118,ENSNFUG00015013079,-,-,XP_015797756.1,ENSNFUP00015027072.1
105023,107374119,ENSNFUG00015013072,-,-,XP_015797757.1,ENSNFUP00015026959.1
105023,107374123,ENSNFUG00015013987,-,-,XP_015797763.1,ENSNFUP00015028903.1
105023,107374124,ENSNFUG00015013192,-,-,-,-
105023,107374132,ENSNFUG00015014226,-,-,-,-
105023,107374136,ENSNFUG00015014140,-,-,XP_015797771.1,ENSNFUP00015029181.1
105023,107374141,ENSNFUG00015014598,-,-,XP_015797775.1,ENSNFUP00015030301.1
105023,107374147,ENSNFUG00015014837,-,-,-,-
105023,107374164,ENSNFUG00015016024,-,-,XP_015797791.1,ENSNFUP00015032720.1
105023,107374171,ENSNFUG00015016285,-,-,XP_015797799.1,ENSNFUP00015033406.1
105023,107374175,ENSNFUG00015016854,-,-,-,-
105023,107374177,ENSNFUG00015016868,-,-,-,-
105023,107374180,ENSNFUG00015016927,-,-,XP_015797811.1,ENSNFUP00015034762.1
105023,107374181,ENSNFUG00015016937,-,-,XP_015797812.1,ENSNFUP00015034779.1
105023,107374182,ENSNFUG00015016944,-,-,-,-
105023,107374188,ENSNFUG00015017020,-,-,XP_015797819.1,ENSNFUP00015034949.1
105023,107374195,ENSNFUG00015008907,-,-,XP_015797826.1,ENSNFUP00015018753.1
105023,107374196,ENSNFUG00015008971,-,-,XP_015797827.1,ENSNFUP00015018783.1
