GOBPID,Pvalue,OddsRatio,ExpCount,Count,Size,Term,enrichment,padj
GO:0043933,0.043365401,2.317135905,4.100437355,8,2748,protein-containing complex organization,0.026208289,0.281200858
GO:0044419,0.044604274,2.591206369,2.657525084,6,1781,biological process involved in interspecies interaction between organisms,0.046795657,0.281200858
GO:0050790,0.047815296,2.265936951,4.179521482,8,2801,regulation of catalytic activity,0.025225856,0.288005443
GO:0006952,0.049656111,2.517634706,2.72765629,6,1828,defense response,0.044420251,0.288005443
GO:0006355,0.059551937,2.023917472,5.990995626,10,4015,regulation of DNA-templated transcription,0.01534656,0.325451374
GO:2001141,0.06060129,2.01629915,6.008901466,10,4027,regulation of RNA biosynthetic process,0.015255234,0.325451374
GO:0036211,0.063966066,1.953599577,6.916130692,11,4635,protein modification process,0.012667046,0.331252842
GO:0060255,0.076118319,1.821592558,10.74648829,15,7202,regulation of macromolecule metabolic process,0.0071543,0.345709732
GO:0051171,0.07685626,1.823480467,9.824337535,14,6584,regulation of nitrogen compound metabolic process,0.007989701,0.345709732
GO:0006351,0.078628803,1.90319996,6.287934139,10,4214,DNA-templated transcription,0.013931346,0.345709732
GO:0043412,0.082285636,1.850329782,7.205608438,11,4829,macromolecule modification,0.011669719,0.345709732
GO:0032774,0.082469086,1.882571996,6.341651659,10,4250,RNA biosynthetic process,0.013696332,0.345709732
GO:0019222,0.083102815,1.790266399,11.82083869,16,7922,regulation of metabolic process,0.00630714,0.345709732
GO:0031323,0.083447177,1.788170226,10.87182917,15,7286,regulation of cellular metabolic process,0.006990288,0.345709732
GO:0070887,0.091813196,1.877478678,5.61198868,9,3761,cellular response to chemical stimulus,0.01574048,0.360487376
GO:0042221,0.091986434,1.804701116,7.341394392,11,4920,response to chemical,0.011242027,0.360487376
GO:0051252,0.095080558,1.821117952,6.507280679,10,4361,regulation of RNA metabolic process,0.013007983,0.362807393
GO:0044237,0.101604889,1.812734123,17.15976331,21,11500,cellular metabolic process,0.00392831,0.375616888
GO:0080090,0.105327702,1.706553952,10.25855415,14,6875,regulation of primary metabolic process,0.007327651,0.375616888
GO:0008152,0.110029941,1.888948718,19.43231284,23,13023,metabolic process,0.003354964,0.375616888
GO:0016192,0.110541243,1.90611082,4.152662722,7,2783,vesicle-mediated transport,0.022359072,0.375616888
GO:0051172,0.115122487,1.883899624,4.194443015,7,2811,negative regulation of nitrogen compound metabolic process,0.021915859,0.375616888
GO:0002376,0.115958312,1.816658173,5.031541034,8,3372,immune system process,0.017405921,0.375616888
GO:0010605,0.116570758,1.814048185,5.037509648,8,3376,negative regulation of macromolecule metabolic process,0.017364699,0.375616888
GO:0016070,0.129564549,1.664257696,7.793516851,11,5223,RNA metabolic process,0.009975502,0.408409992
GO:0019219,0.134488211,1.671593445,6.948958065,10,4657,regulation of nucleobase-containing compound metabolic process,0.011406953,0.412182905
GO:0019538,0.141782747,1.600996862,9.767635709,13,6546,protein metabolic process,0.007505394,0.412182905
GO:0034654,0.148447383,1.628924601,7.086236172,10,4749,nucleobase-containing compound biosynthetic process,0.010969272,0.412182905
GO:0006796,0.150268865,1.68868981,5.341908927,8,3580,phosphate-containing compound metabolic process,0.01544209,0.412182905
GO:0043687,0.154057403,1.89625629,2.873887317,5,1926,post-translational protein modification,0.03334568,0.412182905
GO:0050896,0.154474684,1.594257013,15.77355287,19,10571,response to stimulus,0.004206332,0.412182905
GO:0071310,0.156080174,1.718979635,4.533161821,7,3038,cellular response to organic substance,0.018763102,0.412182905
GO:0048519,0.156160852,1.563536016,9.921327502,13,6649,negative regulation of biological process,0.007274662,0.412182905
GO:0006793,0.15634524,1.669175712,5.39264214,8,3614,phosphorus metabolic process,0.015152903,0.412182905
GO:0018130,0.16025328,1.595787724,7.196655518,10,4823,heterocycle biosynthetic process,0.010635248,0.413071392
GO:0019438,0.162379789,1.590071324,7.216053512,10,4836,aromatic compound biosynthetic process,0.010578146,0.413071392
GO:0009892,0.172659614,1.620336711,5.523951634,8,3702,negative regulation of metabolic process,0.014441068,0.419617908
GO:0010558,0.178071475,1.708183248,3.845279136,6,2577,negative regulation of macromolecule biosynthetic process,0.022351391,0.419617908
GO:0032940,0.179220815,1.791130894,3.024594803,5,2027,secretion by cell,0.030105417,0.419617908
GO:0048523,0.185320365,1.504242355,9.266272189,12,6210,negative regulation of cellular process,0.00769804,0.419617908
GO:0031327,0.191284818,1.665475481,3.930331875,6,2634,negative regulation of cellular biosynthetic process,0.021394486,0.419617908
GO:0010468,0.194539038,1.495696887,8.41574479,11,5640,regulation of gene expression,0.008554933,0.419617908
GO:0050789,0.194658219,1.626859464,20.36341652,23,13647,regulation of biological process,0.003055171,0.419617908
GO:0048585,0.195186702,1.732577212,3.115616156,5,2088,negative regulation of response to stimulus,0.028372079,0.419617908
GO:0009890,0.196256302,1.650204343,3.961667095,6,2655,negative regulation of biosynthetic process,0.02105738,0.419617908
GO:1901362,0.196287957,1.507472385,7.508515565,10,5032,organic cyclic compound biosynthetic process,0.009770142,0.419617908
GO:0140352,0.196786329,1.727002553,3.124569076,5,2094,export from cell,0.028209721,0.419617908
GO:0007166,0.201310239,1.544747516,5.740313867,8,3847,cell surface receptor signaling pathway,0.013372966,0.423043255
GO:0009605,0.207598827,1.566052653,4.900231541,7,3284,response to external stimulus,0.01605735,0.426443415
GO:0031324,0.209162991,1.562036319,4.910676614,7,3291,negative regulation of cellular metabolic process,0.015989115,0.426443415
GO:1901360,0.211751213,1.443527329,10.44805763,13,7002,organic cyclic compound metabolic process,0.006559659,0.426443415
GO:0010556,0.217773411,1.448139145,8.609724723,11,5770,regulation of macromolecule biosynthetic process,0.008173785,0.428828224
GO:1901564,0.226771526,1.413119143,11.53882171,14,7733,organonitrogen compound metabolic process,0.005791808,0.428828224
GO:0006139,0.227848649,1.419870742,9.633341909,12,6456,nucleobase-containing compound metabolic process,0.007122564,0.428828224
GO:0046903,0.23006936,1.621040724,3.30511963,5,2215,secretion,0.025211848,0.428828224
GO:0090304,0.232340328,1.420621324,8.726112683,11,5848,nucleic acid metabolic process,0.007957197,0.428828224
GO:0010033,0.235057517,1.468162653,5.977566246,8,4006,response to organic substance,0.012332475,0.428828224
GO:0048518,0.236242746,1.396818045,11.61939799,14,7787,positive regulation of biological process,0.005711758,0.428828224
GO:0009966,0.236594882,1.464930741,5.98801132,8,4013,regulation of signal transduction,0.012289489,0.428828224
GO:0023051,0.244038294,1.427596216,6.953434525,9,4660,regulation of signaling,0.010253044,0.429434624
GO:0006950,0.247208294,1.421560223,6.975816825,9,4675,response to stress,0.010187355,0.429434624
GO:0010646,0.24805651,1.419957173,6.981785439,9,4679,regulation of cell communication,0.010169944,0.429434624
GO:0031326,0.250092009,1.389095032,8.86339079,11,5940,regulation of cellular biosynthetic process,0.00771262,0.429434624
GO:0051649,0.254645221,1.456648985,5.201646514,7,3486,establishment of localization in cell,0.014250346,0.429434624
GO:0006807,0.259633596,1.38651395,16.76881914,19,11238,nitrogen compound metabolic process,0.00372184,0.429434624
GO:0023056,0.262111422,1.533552348,3.470748649,5,2326,positive regulation of signaling,0.022862974,0.429434624
GO:0009889,0.2627862,1.367734579,8.958888603,11,6004,regulation of biosynthetic process,0.00754907,0.429434624
GO:0010647,0.263584011,1.529807968,3.478209416,5,2331,positive regulation of cell communication,0.022764997,0.429434624
GO:0046483,0.269568966,1.349692818,9.961615642,12,6676,heterocycle metabolic process,0.006660867,0.432051053
GO:0044281,0.272169714,1.508404105,3.521481863,5,2360,small molecule metabolic process,0.022208956,0.432051053
GO:0065007,0.275040037,1.457915452,21.01250322,23,14082,biological regulation,0.002869335,0.432051053
GO:0043170,0.278933058,1.345632112,15.91679959,18,10667,macromolecule metabolic process,0.003913543,0.432051053
GO:0006725,0.280088269,1.333473452,10.04069977,12,6729,cellular aromatic compound metabolic process,0.006556353,0.432051053
GO:0044093,0.283528822,1.481142917,3.578183689,5,2398,positive regulation of molecular function,0.021510663,0.432754519
GO:0010467,0.306373859,1.295045626,10.23318755,12,6858,gene expression,0.006312021,0.452039882
GO:0051246,0.306419149,1.386522164,4.594340108,6,3079,regulation of protein metabolic process,0.015657197,0.452039882
GO:0051641,0.306934308,1.319185575,7.378698225,9,4945,cellular localization,0.009105254,0.452039882
GO:0009059,0.308634127,1.288696029,11.21651659,13,7517,macromolecule biosynthetic process,0.005691626,0.452039882
GO:0044271,0.311886534,1.300492333,8.35755081,10,5601,cellular nitrogen compound biosynthetic process,0.007885895,0.452235474
GO:0050794,0.328812939,1.314123879,19.3278621,21,12953,regulation of cellular process,0.003096426,0.47205818
GO:0051716,0.339136563,1.248605222,13.39506046,15,8977,cellular response to stimulus,0.004604802,0.482105898
GO:0034641,0.349885161,1.236870865,10.53907898,12,7063,cellular nitrogen compound metabolic process,0.005950932,0.492556781
GO:0006357,0.358021641,1.325980392,3.939284795,5,2640,regulation of transcription by RNA polymerase II,0.01774779,0.498813232
GO:0048522,0.361209582,1.22264826,10.61667095,12,7115,positive regulation of cellular process,0.005864265,0.498813232
GO:0016043,0.373509349,1.205853175,11.67609982,13,7825,cellular component organization,0.005252388,0.503286372
GO:0044238,0.376794484,1.223900703,17.64023669,19,11822,primary metabolic process,0.003363209,0.503286372
GO:0008104,0.378352044,1.26075195,4.973347054,6,3333,protein localization,0.013361732,0.503286372
GO:0071704,0.380915607,1.229390107,18.67280679,20,12514,organic substance metabolic process,0.003159511,0.503286372
GO:0070727,0.381803455,1.25528341,4.991252894,6,3345,cellular macromolecule localization,0.013266035,0.503286372
GO:0044249,0.402744246,1.172009764,12.85788526,14,8617,cellular biosynthetic process,0.004664424,0.526107349
GO:0031325,0.407224774,1.200046941,6.079032673,7,4074,positive regulation of cellular metabolic process,0.010433695,0.52701725
GO:0006366,0.411478797,1.232991682,4.192950862,5,2810,transcription by RNA polymerase II,0.015665328,0.52701725
GO:0071840,0.415013876,1.158175541,11.9581168,13,8014,cellular component organization or biogenesis,0.005007568,0.52701725
GO:0010604,0.424243259,1.176887519,6.173038333,7,4137,positive regulation of macromolecule metabolic process,0.010118337,0.52701725
GO:0007165,0.424771578,1.148253129,11.04193465,12,7400,signal transduction,0.005421256,0.52701725
GO:0023052,0.425248402,1.146910339,12.02675585,13,8060,signaling,0.004950572,0.52701725
GO:1901576,0.431317855,1.140669491,13.05186519,14,8747,organic substance biosynthetic process,0.004526806,0.530009229
GO:0009058,0.445063104,1.126048891,13.1443787,14,8809,biosynthetic process,0.004463309,0.542303782
GO:0032879,0.452912155,1.168213029,4.389915102,5,2942,regulation of localization,0.014291138,0.543134991
GO:0007154,0.453236785,1.116938938,12.21327502,13,8185,cell communication,0.004800518,0.543134991
GO:0042127,0.490140004,1.114177843,4.568973501,5,3062,regulation of cell population proliferation,0.013192946,0.578327803
GO:0051173,0.490581516,1.101098361,5.555286854,6,3723,positive regulation of nitrogen compound metabolic process,0.010708961,0.578327803
GO:0009891,0.507896668,1.089553237,4.655518395,5,3120,positive regulation of biosynthetic process,0.012706998,0.593911426
GO:0009893,0.53376447,1.042169881,6.783329046,7,4546,positive regulation of metabolic process,0.008379562,0.616649801
GO:0033036,0.535847413,1.044554566,5.79552354,6,3884,macromolecule localization,0.009839543,0.616649801
GO:0006810,0.546123209,1.023325268,9.849704142,10,6601,transport,0.005677572,0.623526499
GO:0009987,0.565328009,1.490800543,27.53470543,28,18453,cellular process,0.002034259,0.640410636
GO:0051179,0.578148515,0.991919738,11.05536403,11,7409,localization,0.004957419,0.649856858
GO:0051234,0.582637452,0.987046814,10.08546437,10,6759,establishment of localization,0.005415234,0.64986485
GO:0048513,0.657712918,0.904515974,6.490866993,6,4350,animal organ development,0.007844312,0.722497715
GO:0007399,0.657722058,0.901443407,5.443375354,5,3648,nervous system development,0.009294852,0.722497715
GO:0008283,0.669019203,0.892042023,6.560998199,6,4397,cell population proliferation,0.007677511,0.729381838
GO:0022607,0.678785816,0.876722133,5.56722408,5,3731,cellular component assembly,0.008885905,0.73450704
GO:0048468,0.687189575,0.866910461,5.617957294,5,3765,cell development,0.00872614,0.735273673
GO:0035556,0.689635997,0.864058355,5.632878827,5,3775,intracellular signal transduction,0.00867997,0.735273673
GO:0071702,0.711129505,0.839054404,5.767172627,5,3865,organic substance transport,0.008280435,0.752655316
GO:0044085,0.740479223,0.804928989,5.96115256,5,3995,cellular component biogenesis,0.007750301,0.778039764
GO:0048731,0.943237492,0.527947247,8.200874711,5,5496,system development,0.004095045,0.972630312
GO:0030154,0.94573469,0.522886899,8.257576537,5,5534,cell differentiation,0.004039,0.972630312
GO:0048869,0.945799131,0.522754671,8.259068691,5,5535,cellular developmental process,0.004037541,0.972630312
GO:0007275,0.964945692,0.497206922,9.973552869,6,6684,multicellular organism development,0.003322466,0.982253403
GO:0032501,0.96870508,0.527727989,14.47388732,10,9700,multicellular organismal process,0.002629291,0.982253403
GO:0048856,0.978162709,0.471918804,11.67162336,7,7822,anatomical structure development,0.002830379,0.984955506
GO:0032502,0.988295499,0.428358668,12.35204528,7,8278,developmental process,0.00252714,0.988295499
