go_id	Evidence	gene_id
GO:0005515	ISO	LOC107376438
GO:0045162	ISO	LOC107376438
GO:0033268	ISO	LOC107376438
GO:0033270	ISO	LOC107376438
GO:0005509	ISO	LOC107377368
GO:0005525	ISO	LOC107377368
GO:0005515	ISO	LOC107377368
GO:0060271	ISO	LOC107377368
GO:0004096	ISO	LOC107394132
GO:0020037	ISO	LOC107394132
GO:0055114	ISO	LOC107394132
GO:0005515	ISO	LOC107394132
GO:0098869	ISO	LOC107394132
GO:0004252	ISO	tpp2
GO:0006508	ISO	tpp2
GO:0005829	ISO	tpp2
GO:0008240	ISO	tpp2
GO:0008240	ISO	tpp2
GO:0003676	ISO	LOC107392531
GO:0003723	ISO	LOC107392531
GO:0005737	ISO	LOC107392531
GO:0005737	ISO	LOC107392531
GO:0005829	ISO	LOC107392531
GO:0005634	ISO	LOC107392531
GO:0003723	ISO	LOC107392531
GO:0003730	ISO	LOC107392531
GO:1990904	ISO	LOC107392531
GO:0010494	ISO	LOC107392531
GO:0008266	ISO	LOC107392531
GO:0008143	ISO	LOC107392531
GO:0016020	ISO	ctxn1
GO:0016021	ISO	ctxn1
GO:0005515	ISO	LOC107388824
GO:0006897	ISO	LOC107378301
GO:0003924	ISO	LOC107378301
GO:0005874	ISO	LOC107378301
GO:0005525	ISO	LOC107378301
GO:0005737	ISO	LOC107378301
GO:0045202	ISO	LOC107378301
GO:0043009	ISO	LOC107378301
GO:0000166	ISO	LOC107378301
GO:0005886	ISO	LOC107378301
GO:0016020	ISO	LOC107378301
GO:0015630	ISO	LOC107378301
GO:0003924	ISO	LOC107378301
GO:0031410	ISO	LOC107378301
GO:0008017	ISO	LOC107378301
GO:0000266	ISO	LOC107378301
GO:0016185	ISO	LOC107378301
GO:0031623	ISO	LOC107378301
GO:0048285	ISO	LOC107378301
GO:0050803	ISO	LOC107378301
GO:0061025	ISO	LOC107378301
GO:0098884	ISO	LOC107378301
GO:0014069	ISO	LOC107378301
GO:0030424	ISO	LOC107378301
GO:0031966	ISO	LOC107378301
GO:0043197	ISO	LOC107378301
GO:0044327	ISO	LOC107378301
GO:0045211	ISO	LOC107378301
GO:0098793	ISO	LOC107378301
GO:0098844	ISO	LOC107378301
GO:0061053	ISO	LOC107378301
GO:0060026	ISO	LOC107378301
GO:0060026	ISO	LOC107378301
GO:0061061	ISO	LOC107378301
GO:0008081	ISO	LOC107392897
GO:0004114	ISO	LOC107392897
GO:0007165	ISO	LOC107392897
GO:0016787	ISO	LOC107392897
GO:0046872	ISO	LOC107392897
GO:0005829	ISO	LOC107392897
GO:0044325	ISO	LOC107392897
GO:0004115	ISO	LOC107392897
GO:0006338	ISO	ino80e
GO:0031011	ISO	ino80e
GO:0005634	ISO	ino80e
GO:0003674	ISO	ino80e
GO:0007420	ISO	ino80e
GO:0005524	ISO	sephs1
GO:0005634	ISO	sephs1
GO:0016020	ISO	sephs1
GO:0016740	ISO	sephs1
GO:0005737	ISO	sephs1
GO:0005886	ISO	sephs1
GO:0005886	ISO	sephs1
GO:0000166	ISO	sephs1
GO:0016301	ISO	sephs1
GO:0016310	ISO	sephs1
GO:0031965	ISO	sephs1
GO:0031965	ISO	sephs1
GO:0042803	ISO	sephs1
GO:0004756	ISO	sephs1
GO:0016260	ISO	sephs1
GO:0046982	ISO	sephs1
GO:0004756	ISO	sephs1
GO:0005852	ISO	eif3i
GO:0003743	ISO	eif3i
GO:0005737	ISO	eif3i
GO:0005515	ISO	eif3i
GO:0006412	ISO	eif3i
GO:0001889	ISO	eif3i
GO:0002040	ISO	eif3i
GO:0003743	ISO	eif3i
GO:0001732	ISO	eif3i
GO:0002183	ISO	eif3i
GO:0006413	ISO	eif3i
GO:0006413	ISO	eif3i
GO:0016282	ISO	eif3i
GO:0033290	ISO	eif3i
GO:0005852	ISO	eif3i
GO:0017137	ISO	LOC107384560
GO:0006886	ISO	LOC107384560
GO:0005623	ISO	LOC107384560
GO:0046872	ISO	LOC107384560
GO:0003779	ISO	LOC107384560
GO:0017022	ISO	LOC107384560
GO:0017137	ISO	LOC107384560
GO:0030864	ISO	LOC107384560
GO:0051876	ISO	LOC107384560
GO:0006357	ISO	vax2
GO:0007601	ISO	vax2
GO:0043565	ISO	vax2
GO:0003700	ISO	vax2
GO:0006355	ISO	vax2
GO:0003677	ISO	vax2
GO:0005634	ISO	vax2
GO:0060041	ISO	vax2
GO:0000978	ISO	vax2
GO:0005634	ISO	vax2
GO:0006357	ISO	vax2
GO:0007275	ISO	vax2
GO:0007417	ISO	vax2
GO:0016055	ISO	vax2
GO:0001227	ISO	vax2
GO:0000122	ISO	vax2
GO:0060042	ISO	vax2
GO:0030182	ISO	vax2
GO:0021554	ISO	vax2
GO:0030900	ISO	vax2
GO:0061386	ISO	vax2
GO:0043565	ISO	vax2
GO:0090259	ISO	vax2
GO:1902254	ISO	vax2
GO:0048048	ISO	vax2
GO:0001162	ISO	vax2
GO:0000122	ISO	LOC107385851
GO:0005634	ISO	LOC107385851
GO:0008327	ISO	LOC107385851
GO:0006346	ISO	LOC107385851
GO:0005634	ISO	LOC107385851
GO:0008270	ISO	LOC107385851
GO:0003677	ISO	LOC107385851
GO:0003779	ISO	wipf2
GO:0051015	ISO	wipf2
GO:0008360	ISO	wipf2
GO:0006897	ISO	wipf2
GO:0005884	ISO	wipf2
GO:0000147	ISO	wipf2
GO:0030048	ISO	wipf2
GO:0051127	ISO	wipf2
GO:0051666	ISO	wipf2
GO:0007264	ISO	LOC107388172
GO:0003924	ISO	LOC107388172
GO:0005525	ISO	LOC107388172
GO:0005737	ISO	LOC107388172
GO:0043005	ISO	LOC107388172
GO:0030865	ISO	LOC107388172
GO:0000166	ISO	LOC107388172
GO:0007163	ISO	LOC107388172
GO:0005886	ISO	LOC107388172
GO:0019901	ISO	LOC107388172
GO:0003924	ISO	LOC107388172
GO:0005525	ISO	LOC107388172
GO:0007015	ISO	LOC107388172
GO:0007266	ISO	LOC107388172
GO:0008360	ISO	LOC107388172
GO:0030036	ISO	LOC107388172
GO:0032956	ISO	LOC107388172
GO:0005856	ISO	LOC107388172
GO:0005938	ISO	LOC107388172
GO:0031410	ISO	LOC107388172
GO:0042995	ISO	LOC107388172
GO:0043231	ISO	LOC107388172
GO:0016579	ISO	LOC107372385
GO:0036459	ISO	LOC107372385
GO:0006511	ISO	LOC107372385
GO:0016787	ISO	LOC107372385
GO:0046872	ISO	LOC107372385
GO:0008233	ISO	LOC107372385
GO:0006508	ISO	LOC107372385
GO:0008234	ISO	LOC107372385
GO:0004843	ISO	LOC107372385
GO:0004197	ISO	LOC107372385
GO:0016579	ISO	LOC107372385
GO:0036459	ISO	LOC107372385
GO:0016579	ISO	LOC107372385
GO:0004843	ISO	LOC107372385
GO:0004197	ISO	LOC107372385
GO:0030215	ISO	sema3d
GO:0005515	ISO	sema3d
GO:0005634	ISO	diexf
GO:0005730	ISO	diexf
GO:0005730	ISO	diexf
GO:0005634	ISO	diexf
GO:0007275	ISO	diexf
GO:0031017	ISO	diexf
GO:0032040	ISO	diexf
GO:0048546	ISO	diexf
GO:0090594	ISO	diexf
GO:0000462	ISO	diexf
GO:0030163	ISO	diexf
GO:0034511	ISO	diexf
GO:0019843	ISO	diexf
GO:0042254	ISO	diexf
GO:0035265	ISO	diexf
GO:0048485	ISO	diexf
GO:0000462	ISO	diexf
GO:0031648	ISO	diexf
GO:0005515	ISO	tnfrsf11a
GO:0016020	ISO	tnfrsf11a
GO:0016021	ISO	tnfrsf11a
GO:0046983	ISO	LOC107392435
GO:0071339	ISO	LOC107392435
GO:0090575	ISO	LOC107392435
GO:0008410	ISO	sugct
GO:0005575	ISO	sugct
GO:0016339	ISO	arvcf
GO:0098609	ISO	arvcf
GO:0007275	ISO	arvcf
GO:0005737	ISO	arvcf
GO:0005886	ISO	arvcf
GO:0005634	ISO	arvcf
GO:0005737	ISO	arvcf
GO:0005634	ISO	arvcf
GO:0005886	ISO	arvcf
GO:0045296	ISO	arvcf
GO:0007043	ISO	arvcf
GO:0098609	ISO	arvcf
GO:0005911	ISO	arvcf
GO:0005912	ISO	arvcf
GO:0005515	ISO	arvcf
GO:0005515	ISO	dcaf11
GO:0043161	ISO	dcaf11
GO:0016567	ISO	dcaf11
GO:0080008	ISO	dcaf11
GO:0048017	ISO	LOC107375465
GO:0006654	ISO	LOC107375465
GO:0004630	ISO	LOC107375465
GO:0035091	ISO	LOC107375465
GO:0003824	ISO	LOC107375465
GO:0016787	ISO	LOC107375465
GO:0016042	ISO	LOC107375465
GO:0005794	ISO	LOC107375465
GO:0070290	ISO	LOC107375465
GO:0048870	ISO	LOC107375465
GO:0042765	ISO	pigu
GO:0016255	ISO	pigu
GO:0016021	ISO	pigu
GO:0016020	ISO	pigu
GO:0034394	ISO	pigu
GO:0016255	ISO	pigu
GO:0042765	ISO	pigu
GO:0034394	ISO	pigu
GO:0003923	ISO	pigu
GO:0050976	ISO	pigu
GO:0009448	ISO	abat
GO:0003867	ISO	abat
GO:0008483	ISO	abat
GO:0030170	ISO	abat
GO:0003824	ISO	abat
GO:0005739	ISO	abat
GO:0030170	ISO	abat
GO:0003867	ISO	abat
GO:0009450	ISO	abat
GO:0005515	ISO	tcerg1
GO:0005634	ISO	tcerg1
GO:0003712	ISO	tcerg1
GO:0070063	ISO	tcerg1
GO:1903506	ISO	tcerg1
GO:0042119	ISO	LOC107382165
GO:0030593	ISO	LOC107382165
GO:0005153	ISO	LOC107382165
GO:0008009	ISO	LOC107382165
GO:0006952	ISO	LOC107382165
GO:0006935	ISO	LOC107382165
GO:0006955	ISO	LOC107382165
GO:0005576	ISO	LOC107382165
GO:0006954	ISO	LOC107382165
GO:0005615	ISO	LOC107382165
GO:0005615	ISO	LOC107382165
GO:0030595	ISO	LOC107382165
GO:0005125	ISO	LOC107382165
GO:0002244	ISO	LOC107382165
GO:0006955	ISO	LOC107382165
GO:0008009	ISO	LOC107382165
GO:0045236	ISO	LOC107382165
GO:0030593	ISO	LOC107382165
GO:0061844	ISO	LOC107382165
GO:0070098	ISO	LOC107382165
GO:0071222	ISO	LOC107382165
GO:0001570	ISO	LOC107382165
GO:0030593	ISO	LOC107382165
GO:0030593	ISO	LOC107382165
GO:0008009	ISO	LOC107382165
GO:0001525	ISO	LOC107382165
GO:0002523	ISO	LOC107382165
GO:0002631	ISO	LOC107382165
GO:0002631	ISO	LOC107382165
GO:0006954	ISO	LOC107382165
GO:0009611	ISO	LOC107382165
GO:0009617	ISO	LOC107382165
GO:0009617	ISO	LOC107382165
GO:0060218	ISO	LOC107382165
GO:0071305	ISO	LOC107382165
GO:0071621	ISO	LOC107382165
GO:0098508	ISO	LOC107382165
GO:1990266	ISO	LOC107382165
GO:0003676	ISO	LOC107381912
GO:0003676	ISO	ddx20
GO:0005524	ISO	ddx20
GO:0016787	ISO	ddx20
GO:0000166	ISO	ddx20
GO:0004386	ISO	ddx20
GO:0004252	ISO	plg
GO:0006508	ISO	plg
GO:0004252	ISO	plg
GO:0016787	ISO	plg
GO:0005576	ISO	plg
GO:0008233	ISO	plg
GO:0008236	ISO	plg
GO:0007596	ISO	plg
GO:0007599	ISO	plg
GO:0042730	ISO	plg
GO:0048771	ISO	plg
GO:0005840	ISO	rps28
GO:0006412	ISO	rps28
GO:0003735	ISO	rps28
GO:0005737	ISO	rps28
GO:0005783	ISO	rps28
GO:0005829	ISO	rps28
GO:0003735	ISO	rps28
GO:0000028	ISO	rps28
GO:0022627	ISO	rps28
GO:0030490	ISO	rps28
GO:0002181	ISO	rps28
GO:0022627	ISO	rps28
GO:0005791	ISO	rps28
GO:0042788	ISO	rps28
GO:0098556	ISO	rps28
GO:0042813	ISO	fzd6
GO:0004888	ISO	fzd6
GO:0016055	ISO	fzd6
GO:0007166	ISO	fzd6
GO:0016020	ISO	fzd6
GO:0005515	ISO	fzd6
GO:0016021	ISO	fzd6
GO:0016021	ISO	fzd6
GO:0005886	ISO	fzd6
GO:0060070	ISO	fzd6
GO:0007275	ISO	fzd6
GO:0017147	ISO	fzd6
GO:0042813	ISO	fzd6
GO:0033564	ISO	fzd6
GO:0021754	ISO	fzd6
GO:0071679	ISO	fzd6
GO:0071679	ISO	fzd6
GO:0046416	ISO	dao
GO:0003884	ISO	dao
GO:0071949	ISO	dao
GO:0016491	ISO	dao
GO:0055114	ISO	dao
GO:0036088	ISO	dao
GO:0006562	ISO	dao
GO:0055130	ISO	dao
GO:0003824	ISO	acsl1
GO:0016020	ISO	acsl1
GO:0016021	ISO	acsl1
GO:0005515	ISO	lrrtm1
GO:0016020	ISO	lrrtm1
GO:0016021	ISO	lrrtm1
GO:0005515	ISO	lrrtm1
GO:0005615	ISO	lrrtm1
GO:0031012	ISO	lrrtm1
GO:0042802	ISO	lrrtm1
GO:0008380	ISO	scnm1
GO:0005634	ISO	scnm1
GO:0046872	ISO	scnm1
GO:0005634	ISO	scnm1
GO:0008380	ISO	scnm1
GO:0005654	ISO	scnm1
GO:0006397	ISO	scnm1
GO:0016607	ISO	scnm1
GO:0016607	ISO	scnm1
GO:0000380	ISO	scnm1
GO:0005515	ISO	fbxw9
GO:0005524	ISO	vps4b
GO:0005634	ISO	vps4b
GO:0000166	ISO	vps4b
GO:0016887	ISO	vps4b
GO:0042476	ISO	vps4b
GO:0007033	ISO	vps4b
GO:0006024	ISO	xylt2
GO:0030158	ISO	xylt2
GO:0008375	ISO	xylt2
GO:0016020	ISO	xylt2
GO:0050650	ISO	xylt2
GO:0030158	ISO	xylt2
GO:0015012	ISO	xylt2
GO:0042908	ISO	LOC107387808
GO:0042910	ISO	LOC107387808
GO:0055085	ISO	LOC107387808
GO:0016021	ISO	LOC107387808
GO:0016020	ISO	LOC107387808
GO:0007268	ISO	LOC107387808
GO:0022857	ISO	LOC107387808
GO:0043195	ISO	LOC107387808
GO:0030121	ISO	LOC107387808
GO:0005277	ISO	LOC107387808
GO:0006836	ISO	LOC107387808
GO:0015695	ISO	LOC107387808
GO:1901374	ISO	LOC107387808
GO:0030122	ISO	LOC107387808
GO:0016055	ISO	csgr18h12orf43
GO:0005634	ISO	csgr18h12orf43
GO:0007275	ISO	csgr18h12orf43
GO:0003674	ISO	csgr18h12orf43
GO:0030178	ISO	csgr18h12orf43
GO:0030178	ISO	csgr18h12orf43
GO:0005635	ISO	csgr18h12orf43
GO:0060061	ISO	csgr18h12orf43
GO:0060061	ISO	csgr18h12orf43
GO:0097065	ISO	csgr18h12orf43
GO:0005515	ISO	mybpc1
GO:0048741	ISO	mybpc1
GO:0005515	ISO	LOC107394930
GO:0016020	ISO	LOC107395451
GO:0016021	ISO	LOC107395451
GO:0003723	ISO	gpatch1
GO:0005634	ISO	gpatch1
GO:0003723	ISO	gpatch1
GO:0006397	ISO	gpatch1
GO:0003676	ISO	gpatch1
GO:0005654	ISO	cdkn2aip
GO:0005730	ISO	cdkn2aip
GO:0090263	ISO	cdkn2aip
GO:0008076	ISO	kcns3
GO:0051260	ISO	kcns3
GO:0005216	ISO	kcns3
GO:0006813	ISO	kcns3
GO:0005249	ISO	kcns3
GO:0055085	ISO	kcns3
GO:0006811	ISO	kcns3
GO:0016020	ISO	kcns3
GO:0005515	ISO	kcns3
GO:0016021	ISO	kcns3
GO:0016021	ISO	kcns3
GO:0005244	ISO	kcns3
GO:0034765	ISO	kcns3
GO:0071805	ISO	kcns3
GO:0005249	ISO	kcns3
GO:0008076	ISO	kcns3
GO:0005267	ISO	kcns3
GO:0071805	ISO	kcns3
GO:0016055	ISO	ccdc88c
GO:0005515	ISO	ccdc88c
GO:0005737	ISO	ccdc88c
GO:0005737	ISO	ccdc88c
GO:0005737	ISO	ccdc88c
GO:0005085	ISO	ccdc88c
GO:0005085	ISO	ccdc88c
GO:0005813	ISO	ccdc88c
GO:0031122	ISO	ccdc88c
GO:0008017	ISO	ccdc88c
GO:0030054	ISO	ccdc88c
GO:0030054	ISO	ccdc88c
GO:0030705	ISO	ccdc88c
GO:0051959	ISO	ccdc88c
GO:0001965	ISO	ccdc88c
GO:0001841	ISO	ccdc88c
GO:0003383	ISO	ccdc88c
GO:0007264	ISO	ccdc88c
GO:0016714	ISO	LOC107386767
GO:0009072	ISO	LOC107386767
GO:0005506	ISO	LOC107386767
GO:0004497	ISO	LOC107386767
GO:0055114	ISO	LOC107386767
GO:0005737	ISO	LOC107386767
GO:0046872	ISO	LOC107386767
GO:0030424	ISO	LOC107386767
GO:0043204	ISO	LOC107386767
GO:0004511	ISO	LOC107386767
GO:0006585	ISO	LOC107386767
GO:0042416	ISO	LOC107386767
GO:0004510	ISO	LOC107386767
GO:0042427	ISO	LOC107386767
GO:0005575	ISO	LOC107385482
GO:0003723	ISO	LOC107380737
GO:0008270	ISO	LOC107380737
GO:0005737	ISO	LOC107380737
GO:0043186	ISO	LOC107380737
GO:0006417	ISO	LOC107380737
GO:0001555	ISO	LOC107380737
GO:0007292	ISO	LOC107380737
GO:0036099	ISO	LOC107380737
GO:0008233	ISO	fgl2
GO:0006508	ISO	fgl2
GO:0000015	ISO	eno1
GO:0004634	ISO	eno1
GO:0000287	ISO	eno1
GO:0006096	ISO	eno1
GO:0008009	ISO	LOC107384456
GO:0006955	ISO	LOC107384456
GO:0005576	ISO	LOC107384456
GO:0007186	ISO	LOC107384456
GO:0006954	ISO	LOC107384456
GO:0005615	ISO	LOC107384456
GO:0005615	ISO	LOC107384456
GO:0005125	ISO	LOC107384456
GO:0008009	ISO	LOC107384456
GO:0030593	ISO	LOC107384456
GO:0070098	ISO	LOC107384456
GO:0048020	ISO	LOC107384456
GO:0002548	ISO	LOC107384456
GO:0043547	ISO	LOC107384456
GO:0048247	ISO	LOC107384456
GO:0070374	ISO	LOC107384456
GO:0071346	ISO	LOC107384456
GO:0071347	ISO	LOC107384456
GO:0071356	ISO	LOC107384456
GO:0006935	ISO	LOC107384456
GO:0003676	ISO	LOC107377222
GO:0005634	ISO	LOC107377222
GO:0006357	ISO	LOC107377222
GO:0000981	ISO	LOC107377222
GO:0008237	ISO	LOC107373641
GO:0004222	ISO	LOC107373641
GO:0006508	ISO	LOC107373641
GO:0008270	ISO	LOC107373641
GO:0016787	ISO	LOC107373641
GO:0046872	ISO	LOC107373641
GO:0008233	ISO	LOC107373641
GO:0035188	ISO	LOC107373641
GO:0006508	ISO	LOC107373641
GO:0008237	ISO	LOC107373641
GO:0008528	ISO	LOC107389835
GO:0004930	ISO	LOC107389835
GO:0016021	ISO	LOC107389835
GO:0007186	ISO	LOC107389835
GO:0016020	ISO	LOC107389835
GO:0005887	ISO	LOC107389835
GO:0004930	ISO	LOC107389835
GO:0007165	ISO	LOC107389835
GO:0007186	ISO	LOC107389835
GO:0003700	ISO	nfe2l3
GO:0005634	ISO	nfe2l3
GO:0006355	ISO	nfe2l3
GO:0003677	ISO	nfe2l3
GO:0005737	ISO	nfe2l3
GO:0003700	ISO	nfe2l3
GO:0005634	ISO	nfe2l3
GO:0006357	ISO	nfe2l3
GO:0045893	ISO	nfe2l3
GO:0000976	ISO	nfe2l3
GO:0016021	ISO	disp3
GO:0016020	ISO	disp3
GO:0005515	ISO	flrt3
GO:0016020	ISO	flrt3
GO:0016021	ISO	flrt3
GO:0005515	ISO	flrt3
GO:0005615	ISO	flrt3
GO:0008543	ISO	flrt3
GO:0051965	ISO	flrt3
GO:0005104	ISO	flrt3
GO:0031101	ISO	nid2
GO:0007160	ISO	nid2
GO:0005509	ISO	nid2
GO:0004672	ISO	mknk1
GO:0006468	ISO	mknk1
GO:0005524	ISO	mknk1
GO:0005737	ISO	mknk1
GO:0046777	ISO	mknk1
GO:0005634	ISO	mknk1
GO:0035556	ISO	mknk1
GO:0018105	ISO	mknk1
GO:0005516	ISO	mknk1
GO:0009931	ISO	mknk1
GO:0000166	ISO	mknk1
GO:0004674	ISO	mknk1
GO:0035556	ISO	LOC107387233
GO:0003924	ISO	LOC107387233
GO:0005525	ISO	LOC107387233
GO:0006886	ISO	LOC107387233
GO:0008021	ISO	LOC107387233
GO:0012505	ISO	LOC107387233
GO:0005886	ISO	LOC107387233
GO:0003924	ISO	LOC107387233
GO:0032482	ISO	LOC107387233
GO:0005768	ISO	LOC107387233
GO:0016567	ISO	LOC107387233
GO:0072659	ISO	LOC107387233
GO:0008528	ISO	grpr
GO:0004930	ISO	grpr
GO:0016021	ISO	grpr
GO:0007186	ISO	grpr
GO:0016020	ISO	grpr
GO:0005887	ISO	grpr
GO:0004930	ISO	grpr
GO:0007165	ISO	grpr
GO:0007186	ISO	grpr
GO:0003676	ISO	znf507
GO:0005634	ISO	znf507
GO:0010468	ISO	znf507
GO:0003924	ISO	LOC107389745
GO:0005525	ISO	LOC107389745
GO:0006886	ISO	LOC107389745
GO:0012505	ISO	LOC107389745
GO:0003924	ISO	LOC107389745
GO:0032482	ISO	LOC107389745
GO:0032482	ISO	LOC107389745
GO:0005509	ISO	tbc1d8
GO:0006886	ISO	tbc1d8
GO:0017137	ISO	tbc1d8
GO:0090630	ISO	tbc1d8
GO:0005096	ISO	tbc1d8
GO:0003676	ISO	znf362
GO:0008150	ISO	znf362
GO:0007264	ISO	LOC107394170
GO:0005085	ISO	LOC107394170
GO:0005515	ISO	LOC107394170
GO:0016020	ISO	LOC107394170
GO:0005737	ISO	LOC107394170
GO:0005886	ISO	LOC107394170
GO:0005783	ISO	LOC107394170
GO:0005789	ISO	LOC107394170
GO:0005516	ISO	LOC107394170
GO:0007165	ISO	LOC107387636
GO:0005515	ISO	LOC107387636
GO:0004866	ISO	LOC107372375
GO:0005615	ISO	LOC107372375
GO:0005515	ISO	LOC107372375
GO:0005576	ISO	LOC107372375
GO:0010951	ISO	LOC107372375
GO:0005515	ISO	LOC107380228
GO:0008270	ISO	LOC107380228
GO:0046872	ISO	LOC107380228
GO:0043161	ISO	LOC107380228
GO:0061630	ISO	LOC107380228
GO:0000209	ISO	LOC107380228
GO:0005179	ISO	LOC107387602
GO:0005576	ISO	LOC107387602
GO:0005615	ISO	LOC107387602
GO:0001664	ISO	LOC107387602
GO:0007218	ISO	LOC107387602
GO:0005179	ISO	LOC107387602
GO:0005184	ISO	LOC107387602
GO:0007631	ISO	LOC107387602
GO:0031843	ISO	LOC107387602
GO:0031844	ISO	LOC107387602
GO:0003676	ISO	LOC107372509
GO:0000977	ISO	LOC107372509
GO:0005634	ISO	LOC107372509
GO:0043565	ISO	LOC107372509
GO:0005515	ISO	btbd3
GO:0005829	ISO	btbd3
GO:0022008	ISO	btbd3
GO:0005515	ISO	tbcel
GO:0005737	ISO	tbcel
GO:0000226	ISO	tbcel
GO:0043014	ISO	tbcel
GO:0007021	ISO	tbcel
GO:0007023	ISO	tbcel
GO:0043565	ISO	LOC107394849
GO:0006355	ISO	LOC107394849
GO:0003677	ISO	LOC107394849
GO:0005634	ISO	LOC107394849
GO:0046872	ISO	LOC107394849
GO:0060041	ISO	LOC107394849
GO:0000977	ISO	LOC107394849
GO:0005634	ISO	LOC107394849
GO:0045944	ISO	LOC107394849
GO:0000981	ISO	LOC107394849
GO:0030182	ISO	LOC107394849
GO:0061386	ISO	LOC107394849
GO:0030902	ISO	LOC107394849
GO:0035775	ISO	LOC107394849
GO:0002072	ISO	LOC107394849
GO:0021592	ISO	LOC107394849
GO:0030917	ISO	LOC107394849
GO:1905962	ISO	LOC107394849
GO:0003700	ISO	LOC107380766
GO:0006355	ISO	LOC107380766
GO:0000977	ISO	LOC107380766
GO:0005634	ISO	LOC107380766
GO:0006357	ISO	LOC107380766
GO:0000981	ISO	LOC107380766
GO:0005540	ISO	stab2
GO:0007155	ISO	stab2
GO:0005509	ISO	stab2
GO:0016020	ISO	stab2
GO:0016021	ISO	stab2
GO:0001568	ISO	stab2
GO:0001568	ISO	stab2
GO:0060837	ISO	stab2
GO:1901492	ISO	stab2
GO:0003676	ISO	ddx31
GO:0005524	ISO	ddx31
GO:0016787	ISO	ddx31
GO:0005634	ISO	ddx31
GO:0000166	ISO	ddx31
GO:0003723	ISO	ddx31
GO:0003723	ISO	ddx31
GO:0004386	ISO	ddx31
GO:0003724	ISO	ddx31
GO:0042254	ISO	ddx31
GO:0003724	ISO	ddx31
GO:0004488	ISO	LOC107377914
GO:0004329	ISO	LOC107377914
GO:0003824	ISO	LOC107377914
GO:0055114	ISO	LOC107377914
GO:0005524	ISO	LOC107377914
GO:0005829	ISO	LOC107377914
GO:0035999	ISO	LOC107377914
GO:0004477	ISO	LOC107377914
GO:0004488	ISO	LOC107377914
GO:0006730	ISO	LOC107377914
GO:0046872	ISO	lect2
GO:0005737	ISO	lect2
GO:0009617	ISO	lect2
GO:0060271	ISO	lect2
GO:0044782	ISO	lect2
GO:0006002	ISO	LOC107384035
GO:0005737	ISO	LOC107384035
GO:0005524	ISO	LOC107384035
GO:0006096	ISO	LOC107384035
GO:0003872	ISO	LOC107384035
GO:0016740	ISO	LOC107384035
GO:0046872	ISO	LOC107384035
GO:0000166	ISO	LOC107384035
GO:0016301	ISO	LOC107384035
GO:0016310	ISO	LOC107384035
GO:0016020	ISO	LOC107384035
GO:0008152	ISO	LOC107384035
GO:0005524	ISO	LOC107384035
GO:0003824	ISO	LOC107384035
GO:0003872	ISO	LOC107384035
GO:0016208	ISO	LOC107384035
GO:0042802	ISO	LOC107384035
